Rok;Miesiąc;Język;Typ usługodawcy;Rodzaj współpracy;Typ klienta;Liczba zleceń;Przychód (PLN);;14320
2020;January;Węgierski;Freelancer;Useme.com;JDG;20;10300;;
2020;January;Węgierski;Biuro tłumaczeń;Umowa zlecenie;Korporacja;10;6110;;
2020;January;Angielski;Freelancer;Useme.com;Korporacja;4;3112;;
2020;January;Angielski;Biuro tłumaczeń;Useme.com;MSP;3;2067;;
2020;January;Niemiecki;Freelancer;Useme.com;MSP;8;4584;;
2020;January;Niemiecki;Biuro tłumaczeń;Umowa o dzieło;JDG;15;6990;;
2020;January;Francuski;Freelancer;Umowa o dzieło;JDG;1;507;;
2020;January;Francuski;Biuro tłumaczeń;Umowa zlecenie;JDG;12;5976;;
2020;January;Hiszpański;Freelancer;Umowa zlecenie;MSP;13;7475;;
2020;January;Hiszpański;Biuro tłumaczeń;Umowa zlecenie;Korporacja;7;4739;;
2020;January;Włoski;Freelancer;Useme.com;JDG;14;7966;;
2020;January;Włoski;Biuro tłumaczeń;Umowa zlecenie;MSP;12;5448;;
2020;January;Niderlandzki;Freelancer;Umowa zlecenie;Korporacja;7;4718;;
2020;January;Niderlandzki;Biuro tłumaczeń;Umowa zlecenie;MSP;6;3258;;
2020;January;Czeski;Freelancer;Useme.com;Korporacja;2;1468;;
2020;January;Czeski;Biuro tłumaczeń;Useme.com;JDG;15;9945;;
2020;February;Węgierski;Freelancer;Umowa zlecenie;JDG;12;6228;;
2020;February;Węgierski;Biuro tłumaczeń;Umowa o dzieło;Korporacja;16;11536;;
2020;February;Angielski;Freelancer;Umowa zlecenie;Korporacja;19;10317;;
2020;February;Angielski;Biuro tłumaczeń;Umowa o dzieło;Korporacja;10;6320;;
2020;February;Niemiecki;Freelancer;Useme.com;Korporacja;10;4370;;
2020;February;Niemiecki;Biuro tłumaczeń;Umowa zlecenie;JDG;12;5388;;
2020;February;Francuski;Freelancer;Useme.com;JDG;4;2016;;
2020;February;Francuski;Biuro tłumaczeń;Umowa o dzieło;MSP;12;6744;;
2020;February;Hiszpański;Freelancer;Umowa o dzieło;Korporacja;4;2584;;
2020;February;Hiszpański;Biuro tłumaczeń;Umowa o dzieło;MSP;15;11520;;
2020;February;Włoski;Freelancer;Umowa o dzieło;Korporacja;20;13200;;
2020;February;Włoski;Biuro tłumaczeń;Umowa o dzieło;JDG;1;434;;
2020;February;Niderlandzki;Freelancer;Umowa zlecenie;MSP;8;5664;;
2020;February;Niderlandzki;Biuro tłumaczeń;Useme.com;Korporacja;17;9554;;
2020;February;Czeski;Freelancer;Umowa o dzieło;JDG;19;11590;;
2020;February;Czeski;Biuro tłumaczeń;Umowa zlecenie;JDG;1;547;;
2020;March;Węgierski;Freelancer;Useme.com;MSP;8;4840;;
2020;March;Węgierski;Biuro tłumaczeń;Useme.com;MSP;19;13167;;
2020;March;Angielski;Freelancer;Useme.com;JDG;19;10792;;
2020;March;Angielski;Biuro tłumaczeń;Umowa o dzieło;JDG;5;3270;;
2020;March;Niemiecki;Freelancer;Umowa o dzieło;Korporacja;13;9061;;
2020;March;Niemiecki;Biuro tłumaczeń;Umowa zlecenie;JDG;15;6615;;
2020;March;Francuski;Freelancer;Umowa zlecenie;Korporacja;2;1156;;
2020;March;Francuski;Biuro tłumaczeń;Umowa zlecenie;Korporacja;17;7463;;
2020;March;Hiszpański;Freelancer;Useme.com;Korporacja;11;6413;;
2020;March;Hiszpański;Biuro tłumaczeń;Useme.com;JDG;6;3354;;
2020;March;Włoski;Freelancer;Umowa zlecenie;MSP;18;8748;;
2020;March;Włoski;Biuro tłumaczeń;Umowa o dzieło;MSP;15;8040;;
2020;March;Niderlandzki;Freelancer;Umowa o dzieło;MSP;1;433;;
2020;March;Niderlandzki;Biuro tłumaczeń;Umowa o dzieło;MSP;14;9576;;
2020;March;Czeski;Freelancer;Umowa zlecenie;JDG;13;8918;;
2020;March;Czeski;Biuro tłumaczeń;Umowa zlecenie;JDG;12;6216;;
2020;April;Węgierski;Freelancer;Umowa o dzieło;Korporacja;9;4815;;
2020;April;Węgierski;Biuro tłumaczeń;Umowa zlecenie;Korporacja;1;769;;
2020;April;Angielski;Freelancer;Useme.com;JDG;8;5320;;
2020;April;Angielski;Biuro tłumaczeń;Useme.com;Korporacja;15;7680;;
2020;April;Niemiecki;Freelancer;Useme.com;MSP;4;2192;;
2020;April;Niemiecki;Biuro tłumaczeń;Umowa o dzieło;Korporacja;20;15280;;
2020;April;Francuski;Freelancer;Umowa o dzieło;MSP;12;6432;;
2020;April;Francuski;Biuro tłumaczeń;Useme.com;Korporacja;6;4356;;
2020;April;Hiszpański;Freelancer;Umowa zlecenie;Korporacja;2;958;;
2020;April;Hiszpański;Biuro tłumaczeń;Useme.com;MSP;17;8959;;
2020;April;Włoski;Freelancer;Umowa zlecenie;Korporacja;15;10860;;
